CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL345801	262293	CHEMBL345801	262293		40	343.73	2.73	101.34	0	[O-][N+](=O)c1cccc(c1)C2=C(Nc3cccc(Cl)c3)C(=O)NC2=O	2154952	IC50	=	70	nM	7.16	IC50	=	70	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL346066	262651	CHEMBL346066	262651		22	343.73	2.73	101.34	0	[O-][N+](=O)c1ccccc1C2=C(Nc3cccc(Cl)c3)C(=O)NC2=O	2154970	IC50	=	104	nM	6.98	IC50	=	104	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL346996	262781	CHEMBL346996	262781		47	355.38	2.8	101.34	0	CSc1ccc(NC2=C(C(=O)NC2=O)c3cccc(c3)[N+](=O)[O-])cc1	2154945	IC50	=	152	nM	6.82	IC50	=	152	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL347681	262952	CHEMBL347681	262952		63	394.17	3.09	121.57	0	Oc1c(Cl)cc(NC2=C(C(=O)NC2=O)c3ccc(cc3)[N+](=O)[O-])cc1Cl	2154929	IC50	=	71	nM	7.15	IC50	=	71	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL351801	263208	CHEMBL351801	263208		27	314.73	2.53	78.43	0	Oc1cccc(NC2=C(C(=O)NC2=O)c3cccc(Cl)c3)c1	2154965	IC50	=	1478	nM	5.83	IC50	=	1478	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL260928	429512	CHEMBL260928	429512		142	283.36	3.64	57.78	0	O=C(Nc1n[nH]c2cc(ccc12)c3ccsc3)C4CC4	2154851	IC50	=	329	nM	6.48	IC50	=	329	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL261264	429788	CHEMBL261264	429788		115	281.32	2.76	83.56	0	CCCC(=O)Nc1n[nH]c2ncc(cc12)c3ccncc3	2154878	IC50	=	443	nM	6.35	IC50	=	443	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL261439	429464	CHEMBL261439	429464		146	210.24	2.21	67.59	0	Nc1n[nH]c2ncc(cc12)c3ccccc3	2154847	IC50	=	430	nM	6.37	IC50	=	430	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL260135	429462	CHEMBL260135	429462		144	287.33	3.27	80.48	0	Nc1n[nH]c2nnc(c3ccccc3)c(c4ccccc4)c12	2154849	IC50	=	250	nM	6.6	IC50	=	250	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
CHEMBL260329	429742	CHEMBL260329	429742		118	330.39	4.52	70.67	0	CCCC(=O)Nc1n[nH]c2ncc(cc12)c3cccc4ccccc34	2154875	IC50	=	241	nM	6.62	IC50	=	241	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	466615	CHEMBL930273	B	Inhibition of recombinant GSK3-beta	1	Scientific Literature				Autocuration	BAO_0000357	10197	CHEMBL262	SINGLE PROTEIN	P49841	Glycogen synthase kinase-3 beta	Homo sapiens	8	Homologous protein			38628	CHEMBL1142395	18324764	J. Med. Chem.	2008	51	7	2062					
